Area_SqFt,Bedrooms,Bathrooms,Stories,House_Age_Years,Garage_Cars,Neighborhood,Furnishing,Has_Pool,Price
2248.4,3,2,3,4.0,2,Suburbs,Semi-Furnished,No,486568.02
1930.9,4,2,2,22.0,2,Suburbs,Unfurnished,No,462908.03
2323.8,3,4,2,8.0,1,Downtown,Furnished,Yes,667473.07
2761.5,2,4,2,28.0,2,Downtown,Unfurnished,Yes,675287.95
1882.9,2,2,1,15.0,0,Suburbs,Semi-Furnished,No,371389.68
1882.9,3,2,1,45.0,1,Suburbs,Semi-Furnished,No,426061.94
2789.6,4,2,2,21.0,2,Downtown,Unfurnished,No,624755.68
2383.7,4,4,1,7.0,0,Suburbs,Semi-Furnished,No,486948.82
1765.3,4,4,2,19.0,1,Downtown,Furnished,No,539926.33
2271.3,3,2,3,13.0,2,Waterfront,Semi-Furnished,No,640614.33
1768.3,3,3,2,38.0,2,Suburbs,Furnished,No,509564.82
1767.1,2,3,2,36.0,2,Highland,Furnished,No,506015.84
2121.0,3,2,2,49.0,2,Suburbs,Semi-Furnished,No,490561.01
1043.4,3,1,2,33.0,1,Downtown,Semi-Furnished,No,304083.64
1137.5,2,2,1,10.0,0,Oldtown,Semi-Furnished,No,252553.7
1718.9,2,2,1,39.0,2,Suburbs,Semi-Furnished,No,370266.79
1493.6,3,2,1,32.0,1,Suburbs,Unfurnished,No,385254.84
2157.1,4,2,2,30.0,2,Downtown,Furnished,No,566002.82
1546.0,5,4,1,43.0,1,Suburbs,Semi-Furnished,No,491980.09
1293.8,5,1,2,33.0,2,Downtown,Semi-Furnished,No,369578.54
2732.8,3,2,1,49.0,2,Suburbs,Semi-Furnished,No,537171.98
1887.1,3,2,2,6.0,2,Suburbs,Semi-Furnished,Yes,538125.08
2033.8,3,2,1,48.0,2,Oldtown,Furnished,Yes,466318.77
1287.6,4,2,2,22.0,2,Highland,Semi-Furnished,No,462513.3
1727.8,2,2,2,45.0,1,Downtown,Unfurnished,No,389836.16
2055.5,3,1,1,6.0,0,Downtown,Unfurnished,No,433963.04
1424.5,4,2,1,24.0,0,Suburbs,Furnished,No,392154.13
2187.8,3,2,2,2.0,2,Downtown,Semi-Furnished,Yes,609644.61
1699.7,3,1,1,37.0,1,Downtown,Furnished,No,401731.97
1854.2,3,3,1,19.0,2,Waterfront,Unfurnished,Yes,636131.78
1699.1,2,2,3,33.0,1,Downtown,Unfurnished,No,409904.47
2926.1,3,2,2,48.0,2,Waterfront,Unfurnished,No,685630.63
1993.3,3,3,3,43.0,2,Downtown,Semi-Furnished,No,487394.07
1471.1,1,1,1,43.0,1,Oldtown,Semi-Furnished,No,250310.86
2411.3,1,1,1,29.0,1,Highland,Unfurnished,No,421389.94
1389.6,4,3,2,,1,Highland,Semi-Furnished,No,489470.9
2104.4,3,2,2,9.0,2,Downtown,Semi-Furnished,No,506595.28
1020.2,3,2,2,34.0,2,Oldtown,Unfurnished,No,348872.93
1335.9,3,3,1,19.0,1,Waterfront,Semi-Furnished,No,469346.99
2098.4,5,3,1,17.0,2,Highland,Semi-Furnished,No,578393.82
2369.2,3,4,1,44.0,1,Suburbs,Unfurnished,No,502510.18
2085.7,3,2,1,43.0,2,Highland,Unfurnished,No,440288.49
1942.2,4,2,1,26.0,2,Downtown,Semi-Furnished,No,449091.77
1849.4,4,2,1,48.0,2,Highland,Semi-Furnished,No,468405.86
1260.7,2,1,3,35.0,0,Waterfront,Furnished,Yes,456357.64
1640.1,4,2,1,22.0,2,Suburbs,Semi-Furnished,No,439870.57
1769.7,3,2,2,31.0,2,Downtown,Unfurnished,No,411520.22
,3,4,2,9.0,1,Suburbs,Furnished,No,591708.4
2171.8,2,2,2,10.0,1,Highland,Furnished,No,527071.16
1118.5,2,2,1,37.0,2,Downtown,Semi-Furnished,No,280880.85
2162.0,4,2,2,5.0,2,Downtown,Furnished,No,598331.47
1807.5,3,1,2,40.0,2,Downtown,Semi-Furnished,No,409959.02
1661.5,3,1,2,46.0,2,Waterfront,Semi-Furnished,No,516663.71
2305.8,4,2,2,33.0,2,Downtown,Semi-Furnished,No,519779.81
2515.5,4,1,3,35.0,0,Highland,Semi-Furnished,No,510826.8
2465.6,2,2,2,36.0,0,Suburbs,Unfurnished,Yes,447629.0
1580.4,3,3,1,16.0,3,Waterfront,Furnished,Yes,648112.27
1845.4,2,3,2,39.0,2,Oldtown,Furnished,No,461001.3
2165.6,4,2,1,39.0,2,Downtown,Semi-Furnished,No,530079.2
2487.8,3,2,2,11.0,2,Suburbs,Semi-Furnished,No,540148.98
1760.4,5,3,1,20.0,3,Waterfront,Unfurnished,No,590206.65
1907.2,2,3,1,39.0,2,Suburbs,Unfurnished,No,377010.13
1446.8,2,1,2,18.0,2,Downtown,Unfurnished,No,366418.79
1401.9,3,3,2,2.0,2,Waterfront,Semi-Furnished,No,555090.07
2406.3,3,2,1,17.0,1,Oldtown,Furnished,No,503031.57
2678.1,2,3,1,18.0,2,Highland,Unfurnished,No,622372.84
1964.0,5,4,2,46.0,1,Suburbs,Unfurnished,No,437205.71
2501.8,2,1,1,5.0,2,Suburbs,Semi-Furnished,No,501948.34
2180.8,3,3,2,15.0,2,Downtown,Unfurnished,No,529292.23
1677.4,4,2,1,7.0,2,Waterfront,Furnished,No,571780.4
2180.7,3,4,2,47.0,2,Waterfront,Semi-Furnished,No,617851.64
2769.0,4,2,2,17.0,0,Oldtown,Unfurnished,No,508102.58
1982.1,2,3,1,47.0,1,Downtown,Unfurnished,No,393122.74
2782.3,3,1,1,42.0,3,Highland,Unfurnished,No,514509.19
690.1,1,2,1,38.0,3,Downtown,Semi-Furnished,No,289592.5
2411.0,2,1,2,48.0,1,Suburbs,Unfurnished,No,379198.71
2043.5,5,4,2,48.0,3,Waterfront,Semi-Furnished,No,646800.22
1850.5,2,3,2,11.0,2,Downtown,Semi-Furnished,No,497525.32
2045.9,3,3,1,44.0,2,Highland,Unfurnished,No,423454.76
1006.2,3,4,1,9.0,0,Highland,Unfurnished,No,431286.19
1890.2,3,1,1,6.0,3,Oldtown,Semi-Furnished,Yes,485551.13
2178.6,4,2,1,45.0,2,Waterfront,Semi-Furnished,No,503492.0
2738.9,1,1,2,0.0,2,Waterfront,Furnished,No,659851.97
1740.9,3,2,2,48.0,2,Suburbs,Unfurnished,No,391219.05
1595.8,5,2,2,35.0,2,Downtown,Unfurnished,No,416546.24
1749.1,3,2,1,20.0,2,Suburbs,Unfurnished,No,420627.15
2457.7,5,2,3,36.0,1,Suburbs,Semi-Furnished,No,514170.28
2164.4,2,1,2,23.0,1,Highland,Semi-Furnished,No,474950.88
1735.1,3,1,3,24.0,1,Highland,Furnished,Yes,492876.65
2256.6,3,1,2,6.0,0,Suburbs,Semi-Furnished,No,431956.57
2048.5,4,4,1,41.0,2,Suburbs,Unfurnished,No,488236.31
2484.3,5,3,1,16.0,2,Downtown,Semi-Furnished,No,560366.37
1649.0,3,4,2,28.0,2,Highland,Furnished,No,532213.38
1836.2,3,2,1,29.0,1,Highland,Semi-Furnished,No,461971.62
1803.9,2,2,1,6.0,2,Highland,Semi-Furnished,No,508038.78
1268.2,3,3,2,32.0,0,Suburbs,Furnished,No,402003.31
2148.1,3,2,2,6.0,0,Suburbs,Semi-Furnished,No,500400.48
2130.5,5,2,2,23.0,0,Waterfront,Semi-Furnished,No,562695.47
2002.6,3,2,1,10.0,2,Waterfront,Unfurnished,No,529690.91
1882.7,3,1,1,8.0,0,Suburbs,Semi-Furnished,No,409708.68
1292.3,2,2,2,11.0,2,Highland,Unfurnished,No,398955.42
1789.7,2,2,3,34.0,1,Suburbs,Semi-Furnished,No,415117.84
1828.6,2,2,2,3.0,2,Highland,Unfurnished,Yes,544508.8
1598.9,3,1,3,35.0,2,Waterfront,Furnished,No,573390.81
1919.4,4,2,2,27.0,3,Highland,Furnished,No,568142.87
2202.0,3,3,2,12.0,2,Suburbs,Semi-Furnished,No,539970.63
2943.1,3,1,1,22.0,3,Suburbs,Unfurnished,No,522743.38
2087.3,2,2,2,18.0,2,Highland,Unfurnished,No,528108.55
2128.8,4,3,2,41.0,2,Highland,Furnished,No,576469.09
1962.8,4,1,2,36.0,1,Highland,Semi-Furnished,No,451654.7
1040.6,2,1,1,38.0,1,Highland,Semi-Furnished,No,288013.27
1986.7,4,2,2,23.0,1,Downtown,Semi-Furnished,No,478637.6
2030.1,3,2,1,15.0,2,Oldtown,Semi-Furnished,Yes,493712.94
3231.6,2,2,2,32.0,2,Waterfront,Semi-Furnished,Yes,697919.35
1903.8,3,3,1,11.0,2,Suburbs,Semi-Furnished,No,512708.91
2150.8,3,1,2,33.0,3,Highland,Semi-Furnished,No,541359.68
1982.6,2,2,1,6.0,2,Downtown,Furnished,No,498530.09
1415.7,5,2,1,10.0,2,Downtown,Unfurnished,Yes,469763.08
2571.4,4,1,1,30.0,3,Suburbs,Unfurnished,No,510989.93
2376.0,3,2,2,28.0,1,Highland,Semi-Furnished,No,533180.03
2395.5,3,2,1,12.0,2,Oldtown,Unfurnished,No,477559.5
1545.3,3,2,1,30.0,1,Highland,Furnished,No,454413.88
2701.4,3,1,2,1.0,2,Suburbs,Semi-Furnished,No,522364.95
1299.1,3,2,1,38.0,1,Suburbs,Furnished,Yes,372490.53
2293.4,2,2,3,14.0,2,Downtown,Semi-Furnished,No,565792.48
3095.2,3,3,3,10.0,2,Downtown,Unfurnished,No,680534.25
1504.7,4,1,2,33.0,1,Waterfront,Unfurnished,No,436979.29
1716.9,3,2,1,38.0,1,Oldtown,Furnished,Yes,435433.85
2049.8,2,2,2,3.0,2,Suburbs,Unfurnished,No,452555.07
1748.3,4,3,1,10.0,3,Highland,Semi-Furnished,No,534038.56
1224.7,2,2,1,28.0,2,Oldtown,Furnished,Yes,411453.17
2034.3,3,2,1,,2,Downtown,Semi-Furnished,No,533240.87
1468.8,2,3,3,15.0,1,Waterfront,Semi-Furnished,No,531467.7
2236.8,3,3,1,38.0,2,Highland,Semi-Furnished,No,503536.82
1540.3,4,2,2,12.0,2,Highland,Furnished,Yes,535993.17
2775.0,3,2,2,36.0,2,Suburbs,Unfurnished,Yes,577207.71
1608.4,2,3,1,16.0,1,Highland,Furnished,No,500190.34
1839.0,4,4,1,20.0,2,Waterfront,Semi-Furnished,No,559117.07
2406.8,4,3,3,43.0,2,Downtown,Furnished,No,578407.43
1384.6,4,2,2,18.0,3,Suburbs,Unfurnished,No,454763.23
2113.7,2,1,2,6.0,3,Downtown,Unfurnished,No,532451.77
2653.6,3,2,1,37.0,2,Oldtown,Furnished,No,519285.72
1196.3,5,3,1,7.0,2,Suburbs,Furnished,No,490611.02
2092.3,4,2,1,12.0,1,Waterfront,Semi-Furnished,No,553343.75
2129.9,1,2,1,36.0,2,Suburbs,Semi-Furnished,No,386661.98
2390.9,2,3,1,1.0,2,Downtown,Furnished,No,602465.13
1381.5,3,2,2,40.0,1,Downtown,Unfurnished,No,398150.58
1339.8,5,3,1,10.0,1,Suburbs,Semi-Furnished,Yes,495723.33
2261.0,3,2,1,23.0,2,Downtown,Furnished,No,509130.38
2148.5,3,2,2,5.0,1,Highland,Semi-Furnished,Yes,574803.58
2125.2,2,2,2,25.0,2,Downtown,Semi-Furnished,No,516025.02
2173.2,3,3,1,6.0,2,Suburbs,Furnished,No,548111.34
1660.0,4,1,2,38.0,0,Suburbs,Semi-Furnished,No,395757.43
2116.1,3,1,1,18.0,1,Highland,Unfurnished,No,442209.08
2146.5,4,4,1,5.0,2,Highland,Furnished,No,616818.95
1642.8,5,1,1,42.0,2,Highland,Semi-Furnished,No,439643.68
2932.9,2,2,2,28.0,1,Oldtown,Furnished,No,567160.32
2236.9,3,2,1,42.0,2,Downtown,Furnished,No,500168.48
1404.3,3,2,1,38.0,2,Suburbs,Unfurnished,No,373107.64
2328.3,4,2,1,1.0,2,Suburbs,Unfurnished,No,560308.83
1512.7,3,2,2,18.0,2,Suburbs,Semi-Furnished,No,406967.32
2393.5,3,2,1,3.0,3,Highland,Semi-Furnished,No,583508.59
2579.3,4,2,1,5.0,2,Suburbs,Semi-Furnished,No,584709.72
1589.7,3,2,1,48.0,1,Suburbs,Semi-Furnished,Yes,441347.27
2481.7,5,1,1,36.0,3,Suburbs,Semi-Furnished,No,539501.55
2206.4,3,2,2,27.0,2,Oldtown,Unfurnished,No,442710.95
2411.0,2,1,2,29.0,1,Oldtown,Semi-Furnished,No,442477.92
2948.4,3,2,1,6.0,2,Suburbs,Semi-Furnished,No,612612.41
1877.3,4,2,1,8.0,2,Downtown,Semi-Furnished,No,477362.5
1623.1,3,1,1,24.0,2,Waterfront,Unfurnished,Yes,481016.33
1555.2,4,3,1,32.0,2,Oldtown,Semi-Furnished,No,406604.56
1592.1,5,2,1,0.0,1,Suburbs,Unfurnished,No,442542.22
1961.4,3,4,2,5.0,2,Suburbs,Semi-Furnished,No,505143.54
2170.6,5,4,3,17.0,2,Oldtown,Semi-Furnished,No,565742.15
2138.3,2,2,3,9.0,1,Highland,Unfurnished,No,518642.95
2413.6,2,1,2,27.0,2,Suburbs,Semi-Furnished,No,504493.96
2006.5,2,2,2,10.0,2,Highland,Semi-Furnished,No,521035.38
2726.8,4,3,2,32.0,0,Oldtown,Unfurnished,No,524179.16
1867.7,3,2,1,0.0,2,Waterfront,Unfurnished,No,576243.63
3360.1,2,1,2,12.0,1,Highland,Furnished,No,686741.6
2312.8,3,2,1,36.0,1,Highland,Semi-Furnished,No,531477.84
1571.4,3,3,1,19.0,1,Downtown,Furnished,No,404736.51
1464.6,2,3,2,0.0,1,Waterfront,Semi-Furnished,No,526197.9
2241.2,4,1,1,2.0,2,Suburbs,Semi-Furnished,No,521361.24
1888.3,4,2,1,17.0,1,Oldtown,Semi-Furnished,No,468686.9
2357.0,3,2,3,40.0,2,Suburbs,Semi-Furnished,No,528864.69
2236.6,5,2,1,13.0,0,Oldtown,Unfurnished,Yes,469314.6
1963.6,3,3,1,30.0,3,Suburbs,Semi-Furnished,No,470454.94
1576.6,5,2,3,26.0,2,Suburbs,Semi-Furnished,No,448516.58
1242.6,3,2,2,16.0,2,Downtown,Unfurnished,No,407597.14
1776.7,3,1,2,45.0,1,Highland,Unfurnished,No,385213.55
2428.2,2,3,1,28.0,2,Waterfront,Unfurnished,Yes,558667.37
2107.0,4,3,1,35.0,1,Highland,Semi-Furnished,No,481388.4
1377.1,3,2,2,36.0,3,Suburbs,Semi-Furnished,No,392949.45
2086.6,2,3,2,25.0,2,Downtown,Furnished,No,501328.79
2192.7,1,1,2,16.0,2,Oldtown,Unfurnished,No,388580.81
1558.1,3,2,1,21.0,2,Highland,Unfurnished,No,480042.82
2076.9,3,2,1,24.0,1,Highland,Semi-Furnished,No,480207.96
2029.1,4,1,3,1.0,2,Waterfront,Furnished,No,620639.66
1428.5,4,2,1,21.0,2,Highland,Unfurnished,No,444905.37
2178.9,2,4,2,4.0,2,Suburbs,Semi-Furnished,No,580318.98
2280.4,4,1,1,3.0,2,Highland,Semi-Furnished,No,598062.46
2541.5,2,2,2,35.0,1,Highland,Unfurnished,No,553617.4
2526.9,4,2,3,5.0,1,Oldtown,Semi-Furnished,No,564098.34
1311.2,4,2,2,20.0,2,Waterfront,Unfurnished,No,455019.64
1531.1,3,4,1,12.0,2,Downtown,Furnished,No,481268.44
2257.5,4,2,2,36.0,2,Suburbs,Semi-Furnished,No,492655.65
2256.9,3,2,2,24.0,3,Downtown,Semi-Furnished,No,561691.24
2257.5,3,3,1,25.0,0,Downtown,Semi-Furnished,No,491260.77
3926.4,4,1,2,38.0,2,Highland,Semi-Furnished,No,678738.22
2285.4,3,2,2,19.0,3,Oldtown,Semi-Furnished,No,477159.65
2567.8,3,2,2,32.0,2,Downtown,Unfurnished,Yes,586209.14
2477.0,3,2,2,13.0,2,Suburbs,Semi-Furnished,No,544641.12
2325.7,4,4,1,35.0,1,Oldtown,Unfurnished,No,486836.55
1842.4,3,3,1,16.0,1,Waterfront,Semi-Furnished,Yes,598957.0
2379.5,2,2,1,20.0,2,Suburbs,Unfurnished,No,504708.46
,4,3,3,45.0,1,Waterfront,Semi-Furnished,No,543382.21
1881.6,4,1,2,15.0,1,Suburbs,Unfurnished,No,397249.62
1757.3,2,1,2,45.0,2,Downtown,Furnished,No,469758.68
2040.9,2,2,1,15.0,1,Downtown,Semi-Furnished,No,452504.74
3157.3,2,2,1,19.0,3,Downtown,Semi-Furnished,No,631329.45
1066.4,3,2,2,28.0,2,Suburbs,Furnished,No,358022.64
2343.1,3,2,1,,2,Oldtown,Semi-Furnished,No,448915.27
1193.6,4,4,1,7.0,2,Waterfront,Furnished,No,537012.19
1764.0,3,2,2,23.0,2,Suburbs,Unfurnished,No,398764.23
2544.5,3,2,1,2.0,2,Suburbs,Semi-Furnished,Yes,509688.51
2032.1,3,1,1,24.0,2,Suburbs,Semi-Furnished,Yes,468150.31
1461.1,4,1,1,18.0,1,Highland,Furnished,No,451294.03
1642.3,3,2,1,32.0,2,Waterfront,Unfurnished,Yes,501073.97
2339.8,5,2,3,1.0,2,Downtown,Furnished,No,696563.06
1634.8,3,3,1,14.0,2,Downtown,Semi-Furnished,Yes,546037.45
2108.2,2,1,1,21.0,0,Highland,Furnished,No,445331.92
2022.8,3,1,1,9.0,2,Highland,Semi-Furnished,No,461157.26
1674.2,3,2,2,17.0,0,Suburbs,Unfurnished,No,341576.53
3072.0,3,2,1,21.0,3,Highland,Furnished,No,664594.55
2317.0,2,1,2,45.0,3,Highland,Furnished,No,527738.16
987.4,2,3,1,48.0,1,Suburbs,Semi-Furnished,Yes,325781.77
2093.2,4,1,1,26.0,2,Suburbs,Unfurnished,No,463720.34
1669.1,2,2,1,12.0,0,Suburbs,Unfurnished,No,391319.86
,4,2,2,32.0,2,Oldtown,Semi-Furnished,No,524562.85
1603.7,3,1,2,,1,Oldtown,Unfurnished,No,383810.41
1942.6,3,2,1,25.0,2,Oldtown,Semi-Furnished,No,422226.93
2252.5,3,3,2,12.0,1,Highland,Semi-Furnished,No,558776.28
2432.9,3,2,3,26.0,1,Highland,Semi-Furnished,No,567036.15
1399.9,3,3,1,13.0,2,Highland,Unfurnished,No,436463.76
1832.7,2,1,2,23.0,1,Oldtown,Semi-Furnished,No,391851.11
1762.5,1,3,1,2.0,2,Downtown,Semi-Furnished,No,444698.89
1673.3,3,2,3,46.0,0,Suburbs,Semi-Furnished,No,361295.19
2882.7,3,2,2,48.0,2,Highland,Semi-Furnished,No,562154.43
2202.5,5,2,3,29.0,2,Highland,Semi-Furnished,No,560783.35
1369.6,4,4,2,34.0,2,Suburbs,Semi-Furnished,Yes,481364.86
2458.9,4,2,1,47.0,2,Highland,Furnished,No,581399.0
